,nome_munic,doseunica,segundadose,primeiradose
125,SANTA CRUZ DA CONCEIÇÃO,111,2981,3654
126,SANTA CLARA D'OESTE,32,1704,1966
127,SANTA BRANCA,349,8622,11159
128,SANTA BÁRBARA D'OESTE,5364,110252,146651
129,SANTA ALBERTINA,125,4195,5128
130,SANTA ADÉLIA,423,9009,11681
131,SANDOVALINA,79,2348,3000
132,SALTO GRANDE,214,4868,7115
133,SALTO DE PIRAPORA,1116,26390,35114
134,SALTO,3112,71540,98023
135,SALTINHO,262,5166,6946
136,SALMOURÃO,131,3093,3988
137,SALESÓPOLIS,459,10758,14160
138,SALES OLIVEIRA,286,7124,9277
